Source 기업명,Source 모기업명,Source_산업,Target 기업명,Target_모기업,Target_산업,Year,relation_type,dependency_direction,risk_language_score,investment_mentioned,contract_scale_score,no_alternative_mentioned,spillover_type,source_section,source_raw_name,source_canonical_name,source_canonical_firm_id,source_entity_level,source_entity_type,source_parent_canonical_name,source_parent_firm_id,source_mapping_found,target_raw_name,target_canonical_name,target_canonical_firm_id,target_entity_level,target_entity_type,target_parent_canonical_name,target_parent_firm_id,target_mapping_found,source_parent_hint_raw_name,source_parent_hint_canonical_name,source_parent_hint_canonical_firm_id,source_parent_hint_entity_level,source_parent_hint_entity_type,source_parent_hint_parent_canonical_name,source_parent_hint_parent_firm_id,source_parent_hint_mapping_found,target_parent_hint_raw_name,target_parent_hint_canonical_name,target_parent_hint_canonical_firm_id,target_parent_hint_entity_level,target_parent_hint_entity_type,target_parent_hint_parent_canonical_name,target_parent_hint_parent_firm_id,target_parent_hint_mapping_found,risk_source_id,risk_source_name,risk_target_id,risk_target_name,risk_direction_rule,risk_edge_valid,is_reciprocal_expansion,risk_language_score_norm,contract_scale_score_norm,no_alternative_flag,investment_flag,edge_weight_v1
Altair Engineering,Altair_Engineering,Engineering Software,Toggled (LED Lighting Subsidiary),Altair_Engineering,IoT / Lighting,2023,subsidiary,downstream,0.0,Y,0.0,N,none,기타,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Toggled (LED Lighting Subsidiary),Toggled,FIRM_0165,subsidiary,iot_lighting,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0007,Altair Engineering,FIRM_0165,Toggled,source_is_upstream_of_target,True,False,0.0,0.0,0,1,0.1
Alphabet Inc.,Google,Internet / Cloud / AI,Waymo,Google,Autonomous Vehicles,2023,subsidiary,downstream,0.3,Y,0.5,N,operational,기타,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Waymo,Waymo,FIRM_0170,subsidiary,autonomous_vehicle,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0006,Alphabet,FIRM_0170,Waymo,source_is_upstream_of_target,True,False,0.3,0.1666666666666666,0,1,0.2566666666666667
Alphabet Inc.,Google,Internet / Cloud / AI,Google DeepMind,Google,AI / ML Research,2023,subsidiary,upstream,0.3,Y,0.0,Y,operational,기타,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Google DeepMind,Google DeepMind,FIRM_0063,subsidiary,ai_research,Google,FIRM_0061,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0063,Google DeepMind,FIRM_0006,Alphabet,target_is_upstream_of_source,True,False,0.3,0.0,1,1,0.39
Alphabet Inc.,Google,Internet / Cloud / AI,NFL (National Football League),NFL,Sports / Entertainment,2023,data_provider,upstream,0.0,N,0.5,N,none,Item7,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,NFL (National Football League),NFL,FIRM_0104,organization,sports_league,,,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,NFL,NFL,FIRM_0104,organization,sports_league,,,True,FIRM_0104,NFL,FIRM_0006,Alphabet,target_is_upstream_of_source,True,False,0.0,0.1666666666666666,0,0,0.1
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,OpenAI,OpenAI,AI / ML,2023,ai_provider,mutual,0.5,Y,0.5,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,FIRM_0097,Microsoft,FIRM_0115,OpenAI,mutual_source_to_target,True,True,0.5,0.1666666666666666,1,1,0.5166666666666667
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,OpenAI,OpenAI,AI / ML,2023,ai_provider,mutual,0.5,Y,0.5,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,FIRM_0115,OpenAI,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.5,0.1666666666666666,1,1,0.5166666666666667
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Activision Blizzard, Inc.",Microsoft,Gaming,2023,investment_target,downstream,0.5,Y,1.0,N,governance,Item1A,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Activision Blizzard, Inc.",Activision Blizzard,FIRM_0003,subsidiary,gaming,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0003,Activision Blizzard,source_is_upstream_of_target,True,False,0.5,0.3333333333333333,0,1,0.3833333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Nuance Communications, Inc.",Microsoft,AI / Speech Technology,2023,subsidiary,mutual,0.3,Y,1.0,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Nuance Communications, Inc.",Nuance Communications,FIRM_0110,subsidiary,ai_software,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0110,Nuance Communications,mutual_source_to_target,True,True,0.3,0.3333333333333333,1,1,0.5233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Nuance Communications, Inc.",Microsoft,AI / Speech Technology,2023,subsidiary,mutual,0.3,Y,1.0,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Nuance Communications, Inc.",Nuance Communications,FIRM_0110,subsidiary,ai_software,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.3333333333333333,1,1,0.5233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,LinkedIn,Microsoft,Professional Network / SaaS,2023,subsidiary,mutual,0.3,Y,0.5,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,LinkedIn,LinkedIn,FIRM_0084,subsidiary,social_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0084,LinkedIn,mutual_source_to_target,True,True,0.3,0.1666666666666666,1,1,0.4566666666666666
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,LinkedIn,Microsoft,Professional Network / SaaS,2023,subsidiary,mutual,0.3,Y,0.5,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,LinkedIn,LinkedIn,FIRM_0084,subsidiary,social_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.1666666666666666,1,1,0.4566666666666666
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,GitHub,Microsoft,Dev Tools / Open Source,2023,subsidiary,mutual,0.3,Y,0.0,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,GitHub,GitHub,FIRM_0060,subsidiary,developer_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0060,GitHub,mutual_source_to_target,True,True,0.3,0.0,1,1,0.39
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,GitHub,Microsoft,Dev Tools / Open Source,2023,subsidiary,mutual,0.3,Y,0.0,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,GitHub,GitHub,FIRM_0060,subsidiary,developer_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0060,GitHub,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.0,1,1,0.39
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,Dell Technologies,Dell Technologies,Hardware / IT Infrastructure,2023,customer,downstream,0.3,N,0.0,N,none,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,Dell Technologies,Dell Technologies,FIRM_0048,parent,hardware,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Dell Technologies,Dell Technologies,FIRM_0048,parent,hardware,,,True,FIRM_0097,Microsoft,FIRM_0048,Dell Technologies,source_is_upstream_of_target,True,False,0.3,0.0,0,0,0.1
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,Hewlett-Packard Enterprise,Hewlett Packard Enterprise (HPE),Hardware / IT Infrastructure,2023,customer,downstream,0.3,N,0.0,N,none,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,Hewlett-Packard Enterprise,Hewlett Packard Enterprise,FIRM_0067,parent,enterprise_hardware,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Hewlett Packard Enterprise (HPE),Hewlett Packard Enterprise,FIRM_0067,parent,enterprise_hardware,,,True,FIRM_0097,Microsoft,FIRM_0067,Hewlett Packard Enterprise,source_is_upstream_of_target,True,False,0.3,0.0,0,0,0.1
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,Lenovo Group,Lenovo,Hardware / IT,2023,customer,downstream,0.3,N,0.0,N,none,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,Lenovo Group,Lenovo,FIRM_0083,parent,hardware,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Lenovo,Lenovo,FIRM_0083,parent,hardware,,,True,FIRM_0097,Microsoft,FIRM_0083,Lenovo,source_is_upstream_of_target,True,False,0.3,0.0,0,0,0.1
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,ZeniMax Media Inc. (Bethesda Softworks),Microsoft,Gaming,2023,subsidiary,mutual,0.3,Y,1.0,N,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,ZeniMax Media Inc. (Bethesda Softworks),ZeniMax Media,FIRM_0177,subsidiary,gaming,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0177,ZeniMax Media,mutual_source_to_target,True,True,0.3,0.3333333333333333,0,1,0.3233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,ZeniMax Media Inc. (Bethesda Softworks),Microsoft,Gaming,2023,subsidiary,mutual,0.3,Y,1.0,N,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,ZeniMax Media Inc. (Bethesda Softworks),ZeniMax Media,FIRM_0177,subsidiary,gaming,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0177,ZeniMax Media,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.3333333333333333,0,1,0.3233333333333333
SAP SE,SAP,Enterprise Software (ERP),SAP SuccessFactors,SAP,HR Software,2023,subsidiary,upstream,0.7,Y,0.0,N,security,Item16K,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP SuccessFactors,SAP SuccessFactors,FIRM_0145,subsidiary,hr_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0145,SAP SuccessFactors,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.7,0.0,0,1,0.31
SAP SE,SAP,Enterprise Software (ERP),SAP Concur,SAP,Travel & Expense Software,2023,subsidiary,upstream,0.7,Y,0.0,N,security,Item16K,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP Concur,SAP Concur,FIRM_0136,subsidiary,travel_expense_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0136,SAP Concur,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.7,0.0,0,1,0.31
SAP SE,SAP,Enterprise Software (ERP),SAPCallidus Cloud (Commissions / CPQ),SAP,Sales Software,2023,subsidiary,upstream,0.7,Y,0.0,N,security,Item16K,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAPCallidus Cloud (Commissions / CPQ),SAP CallidusCloud,FIRM_0135,subsidiary,sales_performance_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0135,SAP CallidusCloud,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.7,0.0,0,1,0.31
SAP SE,SAP,Enterprise Software (ERP),SAP Deutschland SE & Co. KG,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP Deutschland SE & Co. KG,SAP Deutschland,FIRM_0137,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0132,SAP,FIRM_0137,SAP Deutschland,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP Deutschland SE & Co. KG,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP Deutschland SE & Co. KG,SAP Deutschland,FIRM_0137,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0137,SAP Deutschland,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP Schweiz AG,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP Schweiz AG,SAP Schweiz,FIRM_0143,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0132,SAP,FIRM_0143,SAP Schweiz,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP Schweiz AG,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP Schweiz AG,SAP Schweiz,FIRM_0143,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0143,SAP Schweiz,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP UK Limited,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP UK Limited,SAP UK,FIRM_0146,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0132,SAP,FIRM_0146,SAP UK,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP UK Limited,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP UK Limited,SAP UK,FIRM_0146,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0146,SAP UK,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP España S.A.,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP España S.A.,SAP España,FIRM_0138,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0132,SAP,FIRM_0138,SAP España,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP España S.A.,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP España S.A.,SAP España,FIRM_0138,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0138,SAP España,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP France,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP France,SAP France,FIRM_0139,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0132,SAP,FIRM_0139,SAP France,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP France,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP France,SAP France,FIRM_0139,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0139,SAP France,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP Italia S.p.A.,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP Italia S.p.A.,SAP Italia,FIRM_0140,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0132,SAP,FIRM_0140,SAP Italia,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP Italia S.p.A.,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP Italia S.p.A.,SAP Italia,FIRM_0140,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0140,SAP Italia,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),SAP Nederland B.V.,SAP,Enterprise Software (ERP),2023,subsidiary,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP Nederland B.V.,SAP Nederland,FIRM_0142,regional_entity,enterprise_software,SAP,FIRM_0132,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,FIRM_0132,SAP,FIRM_0142,SAP Nederland,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
