Source 기업명,Source 모기업명,Source_산업,Target 기업명,Target_모기업,Target_산업,Year,relation_type,dependency_direction,risk_language_score,investment_mentioned,contract_scale_score,no_alternative_mentioned,spillover_type,source_section,source_raw_name,source_canonical_name,source_canonical_firm_id,source_entity_level,source_entity_type,source_parent_canonical_name,source_parent_firm_id,source_mapping_found,target_raw_name,target_canonical_name,target_canonical_firm_id,target_entity_level,target_entity_type,target_parent_canonical_name,target_parent_firm_id,target_mapping_found,source_parent_hint_raw_name,source_parent_hint_canonical_name,source_parent_hint_canonical_firm_id,source_parent_hint_entity_level,source_parent_hint_entity_type,source_parent_hint_parent_canonical_name,source_parent_hint_parent_firm_id,source_parent_hint_mapping_found,target_parent_hint_raw_name,target_parent_hint_canonical_name,target_parent_hint_canonical_firm_id,target_parent_hint_entity_level,target_parent_hint_entity_type,target_parent_hint_parent_canonical_name,target_parent_hint_parent_firm_id,target_parent_hint_mapping_found,risk_source_id,risk_source_name,risk_target_id,risk_target_name,risk_direction_rule,risk_edge_valid,is_reciprocal_expansion,risk_language_score_norm,contract_scale_score_norm,no_alternative_flag,investment_flag,edge_weight_v1,edge_weight
Alibaba Group,Alibaba,E-commerce / Cloud,VK Company Limited (Mail.ru),VK Company,Internet / Social Media,2022,investment_target,mutual,0.7,Y,1.0,N,operational,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,VK Company Limited (Mail.ru),VK Company,FIRM_0167,parent,internet_media,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,VK Company,VK Company,FIRM_0167,parent,internet_media,,,True,FIRM_0167,VK Company,FIRM_0004,Alibaba,mutual_target_to_source,True,True,0.7,0.3333333333333333,0.0,1.0,0.4433333333333333,0.4433333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,Trendyol,Alibaba,E-commerce,2022,subsidiary,downstream,0.3,Y,0.0,N,performance,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Trendyol,Trendyol,FIRM_0166,subsidiary,ecommerce,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0166,Trendyol,source_is_upstream_of_target,True,False,0.3,0.0,0.0,1.0,0.19,0.19
Alibaba Group,Alibaba,E-commerce / Cloud,China Telecom Corporation Limited,China Telecom,Telecom,2022,cloud_provider,upstream,0.5,N,0.0,N,governance,Item1A,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,China Telecom Corporation Limited,China Telecom,FIRM_0035,parent,telecommunications,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,China Telecom,China Telecom,FIRM_0035,parent,telecommunications,,,True,FIRM_0035,China Telecom,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.5,0.0,0.0,0.0,0.15,0.15
Alibaba Group,Alibaba,E-commerce / Cloud,China Mobile Limited,China Mobile,Telecom,2022,cloud_provider,upstream,0.5,N,0.0,N,governance,Item1A,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,China Mobile Limited,China Mobile,FIRM_0034,parent,telecommunications,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,China Mobile,China Mobile,FIRM_0034,parent,telecommunications,,,True,FIRM_0034,China Mobile,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.5,0.0,0.0,0.0,0.15,0.15
Alibaba Group,Alibaba,E-commerce / Cloud,China Unicom Hong Kong Limited,China Unicom,Telecom,2022,cloud_provider,upstream,0.5,N,0.0,N,governance,Item1A,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,China Unicom Hong Kong Limited,China Unicom,FIRM_0036,parent,telecommunications,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,China Unicom,China Unicom,FIRM_0036,parent,telecommunications,,,True,FIRM_0036,China Unicom,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.5,0.0,0.0,0.0,0.15,0.15
Alibaba Group,Alibaba,E-commerce / Cloud,Mango Excellent Media,Mango Excellent Media,Media / Entertainment,2022,investment_target,upstream,0.0,Y,1.0,N,none,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Mango Excellent Media,Mango Excellent Media,FIRM_0092,parent,media,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Mango Excellent Media,Mango Excellent Media,FIRM_0092,parent,media,,,True,FIRM_0092,Mango Excellent Media,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.0,0.3333333333333333,0.0,1.0,0.2333333333333333,0.2333333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,MegaFon,MegaFon,Telecom,2022,investment_target,mutual,0.5,Y,1.0,N,operational,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,MegaFon,MegaFon,FIRM_0093,parent,telecommunications,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,MegaFon,MegaFon,FIRM_0093,parent,telecommunications,,,True,FIRM_0004,Alibaba,FIRM_0093,MegaFon,mutual_source_to_target,True,True,0.5,0.3333333333333333,0.0,1.0,0.3833333333333333,0.3833333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,MegaFon,MegaFon,Telecom,2022,investment_target,mutual,0.5,Y,1.0,N,operational,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,MegaFon,MegaFon,FIRM_0093,parent,telecommunications,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,MegaFon,MegaFon,FIRM_0093,parent,telecommunications,,,True,FIRM_0093,MegaFon,FIRM_0004,Alibaba,mutual_target_to_source,True,True,0.5,0.3333333333333333,0.0,1.0,0.3833333333333333,0.3833333333333333
Altair Engineering,Altair_Engineering,Engineering Software,"RapidMiner, Inc.",Altair_Engineering,Data Science / AI Platform,2022,subsidiary,mutual,0.3,Y,1.0,N,operational,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,"RapidMiner, Inc.",RapidMiner,FIRM_0127,subsidiary,analytics_platform,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0007,Altair Engineering,FIRM_0127,RapidMiner,mutual_source_to_target,True,True,0.3,0.3333333333333333,0.0,1.0,0.3233333333333333,0.3233333333333333
Altair Engineering,Altair_Engineering,Engineering Software,"RapidMiner, Inc.",Altair_Engineering,Data Science / AI Platform,2022,subsidiary,mutual,0.3,Y,1.0,N,operational,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,"RapidMiner, Inc.",RapidMiner,FIRM_0127,subsidiary,analytics_platform,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0127,RapidMiner,FIRM_0007,Altair Engineering,mutual_target_to_source,True,True,0.3,0.3333333333333333,0.0,1.0,0.3233333333333333,0.3233333333333333
Altair Engineering,Altair_Engineering,Engineering Software,Concept Engineering,Altair_Engineering,Engineering Software,2022,subsidiary,mutual,0.3,Y,1.0,N,operational,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Concept Engineering,Concept Engineering,FIRM_0039,subsidiary,software,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0007,Altair Engineering,FIRM_0039,Concept Engineering,mutual_source_to_target,True,True,0.3,0.3333333333333333,0.0,1.0,0.3233333333333333,0.3233333333333333
Altair Engineering,Altair_Engineering,Engineering Software,Concept Engineering,Altair_Engineering,Engineering Software,2022,subsidiary,mutual,0.3,Y,1.0,N,operational,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Concept Engineering,Concept Engineering,FIRM_0039,subsidiary,software,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0039,Concept Engineering,FIRM_0007,Altair Engineering,mutual_target_to_source,True,True,0.3,0.3333333333333333,0.0,1.0,0.3233333333333333,0.3233333333333333
Altair Engineering,Altair_Engineering,Engineering Software,World Programming,Altair_Engineering,Analytics Software (SAS-compatible),2022,subsidiary,mutual,0.5,Y,0.5,N,governance,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,World Programming,World Programming,FIRM_0174,subsidiary,software,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0007,Altair Engineering,FIRM_0174,World Programming,mutual_source_to_target,True,True,0.5,0.1666666666666666,0.0,1.0,0.3166666666666666,0.3166666666666666
Altair Engineering,Altair_Engineering,Engineering Software,World Programming,Altair_Engineering,Analytics Software (SAS-compatible),2022,subsidiary,mutual,0.5,Y,0.5,N,governance,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,World Programming,World Programming,FIRM_0174,subsidiary,software,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0174,World Programming,FIRM_0007,Altair Engineering,mutual_target_to_source,True,True,0.5,0.1666666666666666,0.0,1.0,0.3166666666666666,0.3166666666666666
Altair Engineering,Altair_Engineering,Engineering Software,Powersim Inc.,Altair_Engineering,Simulation Software,2022,subsidiary,mutual,0.3,Y,0.5,N,operational,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Powersim Inc.,Powersim,FIRM_0124,subsidiary,software,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0007,Altair Engineering,FIRM_0124,Powersim,mutual_source_to_target,True,True,0.3,0.1666666666666666,0.0,1.0,0.2566666666666667,0.2566666666666667
Altair Engineering,Altair_Engineering,Engineering Software,Powersim Inc.,Altair_Engineering,Simulation Software,2022,subsidiary,mutual,0.3,Y,0.5,N,operational,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Powersim Inc.,Powersim,FIRM_0124,subsidiary,software,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0124,Powersim,FIRM_0007,Altair Engineering,mutual_target_to_source,True,True,0.3,0.1666666666666666,0.0,1.0,0.2566666666666667,0.2566666666666667
Altair Engineering,Altair_Engineering,Engineering Software,Polliwog,Altair_Engineering,Engineering Software,2022,subsidiary,mutual,0.3,Y,0.5,N,operational,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Polliwog,Polliwog,FIRM_0123,subsidiary,software,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0007,Altair Engineering,FIRM_0123,Polliwog,mutual_source_to_target,True,True,0.3,0.1666666666666666,0.0,1.0,0.2566666666666667,0.2566666666666667
Altair Engineering,Altair_Engineering,Engineering Software,Polliwog,Altair_Engineering,Engineering Software,2022,subsidiary,mutual,0.3,Y,0.5,N,operational,Item8,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Polliwog,Polliwog,FIRM_0123,subsidiary,software,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0123,Polliwog,FIRM_0007,Altair Engineering,mutual_target_to_source,True,True,0.3,0.1666666666666666,0.0,1.0,0.2566666666666667,0.2566666666666667
Altair Engineering,Altair_Engineering,Engineering Software,Toggled (LED Lighting Subsidiary),Altair_Engineering,IoT / Lighting,2022,subsidiary,downstream,0.0,Y,0.0,N,none,기타,Altair Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Toggled (LED Lighting Subsidiary),Toggled,FIRM_0165,subsidiary,iot_lighting,Altair Engineering,FIRM_0007,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,Altair_Engineering,Altair Engineering,FIRM_0007,parent,engineering_software,,,True,FIRM_0007,Altair Engineering,FIRM_0165,Toggled,source_is_upstream_of_target,True,False,0.0,0.0,0.0,1.0,0.1,0.1
Alphabet Inc.,Google,Internet / Cloud / AI,Mandiant,Google,Cybersecurity,2022,investment_target,downstream,0.0,Y,1.0,N,operational,Item7,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Mandiant,Mandiant,FIRM_0091,subsidiary,cybersecurity,Google,FIRM_0061,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0006,Alphabet,FIRM_0091,Mandiant,source_is_upstream_of_target,True,False,0.0,0.3333333333333333,0.0,1.0,0.2333333333333333,0.2333333333333333
Alphabet Inc.,Google,Internet / Cloud / AI,Fitbit,Google,Consumer Electronics / Wearables,2022,subsidiary,downstream,0.0,Y,0.0,N,none,Item7,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Fitbit,Fitbit,FIRM_0058,subsidiary,wearables,Google,FIRM_0061,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0006,Alphabet,FIRM_0058,Fitbit,source_is_upstream_of_target,True,False,0.0,0.0,0.0,1.0,0.1,0.1
Alphabet Inc.,Google,Internet / Cloud / AI,Google DeepMind,Google,AI / ML Research,2022,subsidiary,upstream,0.3,Y,0.0,Y,operational,Item7,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Google DeepMind,Google DeepMind,FIRM_0063,subsidiary,ai_research,Google,FIRM_0061,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0063,Google DeepMind,FIRM_0006,Alphabet,target_is_upstream_of_source,True,False,0.3,0.0,1.0,1.0,0.39,0.39
Alphabet Inc.,Google,Internet / Cloud / AI,Waymo,Google,Autonomous Vehicles,2022,subsidiary,downstream,0.3,Y,0.5,N,operational,기타,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Waymo,Waymo,FIRM_0170,subsidiary,autonomous_vehicle,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0006,Alphabet,FIRM_0170,Waymo,source_is_upstream_of_target,True,False,0.3,0.1666666666666666,0.0,1.0,0.2566666666666667,0.2566666666666667
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Nuance Communications, Inc.",Microsoft,AI / Speech Technology,2022,subsidiary,mutual,0.0,Y,1.0,Y,operational,Item8,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Nuance Communications, Inc.",Nuance Communications,FIRM_0110,subsidiary,ai_software,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0110,Nuance Communications,mutual_source_to_target,True,True,0.0,0.3333333333333333,1.0,1.0,0.4333333333333333,0.4333333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Nuance Communications, Inc.",Microsoft,AI / Speech Technology,2022,subsidiary,mutual,0.0,Y,1.0,Y,operational,Item8,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Nuance Communications, Inc.",Nuance Communications,FIRM_0110,subsidiary,ai_software,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.0,0.3333333333333333,1.0,1.0,0.4333333333333333,0.4333333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,ZeniMax Media Inc. (Bethesda Softworks),Microsoft,Gaming,2022,subsidiary,mutual,0.3,Y,1.0,N,operational,Item8,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,ZeniMax Media Inc. (Bethesda Softworks),ZeniMax Media,FIRM_0177,subsidiary,gaming,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0177,ZeniMax Media,mutual_source_to_target,True,True,0.3,0.3333333333333333,0.0,1.0,0.3233333333333333,0.3233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,ZeniMax Media Inc. (Bethesda Softworks),Microsoft,Gaming,2022,subsidiary,mutual,0.3,Y,1.0,N,operational,Item8,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,ZeniMax Media Inc. (Bethesda Softworks),ZeniMax Media,FIRM_0177,subsidiary,gaming,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0177,ZeniMax Media,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.3333333333333333,0.0,1.0,0.3233333333333333,0.3233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Activision Blizzard, Inc.",Microsoft,Gaming,2022,investment_target,downstream,0.5,Y,1.0,N,governance,Item1A,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Activision Blizzard, Inc.",Activision Blizzard,FIRM_0003,subsidiary,gaming,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0003,Activision Blizzard,source_is_upstream_of_target,True,False,0.5,0.3333333333333333,0.0,1.0,0.3833333333333333,0.3833333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,LinkedIn,Microsoft,Professional Network / SaaS,2022,subsidiary,mutual,0.3,Y,0.5,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,LinkedIn,LinkedIn,FIRM_0084,subsidiary,social_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0084,LinkedIn,mutual_source_to_target,True,True,0.3,0.1666666666666666,1.0,1.0,0.4566666666666666,0.4566666666666666
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,LinkedIn,Microsoft,Professional Network / SaaS,2022,subsidiary,mutual,0.3,Y,0.5,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,LinkedIn,LinkedIn,FIRM_0084,subsidiary,social_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.1666666666666666,1.0,1.0,0.4566666666666666,0.4566666666666666
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,GitHub,Microsoft,Dev Tools / Open Source,2022,subsidiary,mutual,0.3,Y,0.0,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,GitHub,GitHub,FIRM_0060,subsidiary,developer_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0060,GitHub,mutual_source_to_target,True,True,0.3,0.0,1.0,1.0,0.39,0.39
